id,client,plan,model,input_tokens,output_tokens,latency_ms,cost_usd,date,status
usage-00075,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,1487,346,2586,0.077305,2024-03-12,success
usage-00076,alice@techcorp.io,enterprise,llama-2-13b-chat,206,177,2199,0.019471,2024-01-02,success
usage-00077,chloe@airesearch.org,pro,mistral-7b-instruct,916,689,3393,0.0377,2024-03-07,success
usage-00078,faisal@llmconsult.ae,pro,mistral-7b-instruct,159,121,952,0.061376,2024-02-28,success
usage-00079,grace@deeplearn.ng,pro,mistral-7b-instruct,1363,756,1658,0.066237,2024-01-10,success
usage-00080,grace@deeplearn.ng,pro,all-MiniLM-L6-v2,136,799,1838,0.036815,2024-02-14,success
usage-00081,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,1896,401,2618,0.072199,2024-02-05,success
usage-00082,chloe@airesearch.org,pro,all-MiniLM-L6-v2,1036,85,1368,0.034874,2024-02-27,success
usage-00083,grace@deeplearn.ng,pro,llama-2-13b-chat,1011,210,3034,0.002983,2024-01-22,success
usage-00084,grace@deeplearn.ng,pro,mistral-7b-instruct,876,133,3351,0.025046,2024-02-09,success
usage-00085,faisal@llmconsult.ae,pro,mistral-7b-instruct,1775,294,2637,0.020932,2024-01-15,success
usage-00086,faisal@llmconsult.ae,pro,mistral-7b-instruct,859,575,120,0.06986,2024-03-24,success
usage-00087,alice@techcorp.io,enterprise,llama-2-13b-chat,1054,187,531,0.020042,2024-02-01,success
usage-00088,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,1617,580,462,0.004311,2024-02-11,success
usage-00089,hiroshi@robotics.jp,enterprise,all-MiniLM-L6-v2,1792,242,1291,0.055126,2024-03-19,success
usage-00090,dmitri@mlops.dev,pro,all-MiniLM-L6-v2,1980,766,207,0.015696,2024-03-26,success
usage-00091,hiroshi@robotics.jp,enterprise,mistral-7b-instruct,788,724,263,0.053598,2024-01-14,success
usage-00092,bruno@datascience.co,pro,llama-2-13b-chat,1655,416,183,0.038444,2024-02-04,success
usage-00093,dmitri@mlops.dev,pro,mistral-7b-instruct,1725,517,1051,0.065181,2024-01-27,success
usage-00094,hiroshi@robotics.jp,enterprise,all-MiniLM-L6-v2,1870,30,1291,0.041683,2024-01-23,success
usage-00095,dmitri@mlops.dev,pro,all-MiniLM-L6-v2,1015,538,2791,0.073603,2024-03-27,success
usage-00096,grace@deeplearn.ng,pro,all-MiniLM-L6-v2,469,795,3179,0.015808,2024-02-14,success
usage-00097,eva@nlplab.dk,enterprise,mistral-7b-instruct,57,547,3993,0.029705,2024-02-27,success
usage-00098,grace@deeplearn.ng,pro,all-MiniLM-L6-v2,1149,395,3167,0.02406,2024-03-20,success
usage-00099,alice@techcorp.io,enterprise,mistral-7b-instruct,503,75,2748,0.015649,2024-03-22,success
usage-00100,bruno@datascience.co,pro,all-MiniLM-L6-v2,449,426,3617,0.065718,2024-02-17,success
usage-00101,faisal@llmconsult.ae,pro,llama-2-13b-chat,1785,285,1787,0.079158,2024-03-11,success
usage-00102,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,487,249,1119,0.06423,2024-03-14,success
usage-00103,faisal@llmconsult.ae,pro,llama-2-13b-chat,1779,471,115,0.060995,2024-02-08,success
usage-00104,eva@nlplab.dk,enterprise,all-MiniLM-L6-v2,1044,542,3601,0.020443,2024-02-14,rate_limited
usage-00105,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,781,160,875,0.070194,2024-03-13,success
usage-00106,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,1829,139,3374,0.013929,2024-02-10,success
usage-00107,alice@techcorp.io,enterprise,llama-2-13b-chat,1279,435,2735,0.063519,2024-03-23,success
usage-00108,dmitri@mlops.dev,pro,mistral-7b-instruct,1975,598,796,0.021768,2024-03-18,success
usage-00109,grace@deeplearn.ng,pro,llama-2-13b-chat,1962,376,1054,0.001901,2024-03-07,success
usage-00110,chloe@airesearch.org,pro,mistral-7b-instruct,1233,375,1389,0.035498,2024-03-17,success
usage-00111,bruno@datascience.co,pro,mistral-7b-instruct,891,435,1377,0.023021,2024-01-14,success
usage-00112,alice@techcorp.io,enterprise,llama-2-13b-chat,694,223,156,0.02366,2024-03-16,success
usage-00113,hiroshi@robotics.jp,enterprise,mistral-7b-instruct,1070,207,2357,0.014641,2024-02-13,success
usage-00114,hiroshi@robotics.jp,enterprise,all-MiniLM-L6-v2,1962,109,2105,0.006246,2024-02-17,success
usage-00115,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,1829,550,2259,0.063104,2024-03-14,success
usage-00116,chloe@airesearch.org,pro,mistral-7b-instruct,258,169,1969,0.060283,2024-03-26,success
usage-00117,eva@nlplab.dk,enterprise,llama-2-13b-chat,660,505,2763,0.057586,2024-01-10,success
usage-00118,dmitri@mlops.dev,pro,llama-2-13b-chat,1913,346,225,0.075073,2024-01-04,success
usage-00119,bruno@datascience.co,pro,all-MiniLM-L6-v2,1427,752,737,0.031007,2024-01-07,success
usage-00120,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,123,593,929,0.037732,2024-01-06,success
usage-00121,eva@nlplab.dk,enterprise,mistral-7b-instruct,591,671,1320,0.057571,2024-02-02,success
usage-00122,faisal@llmconsult.ae,pro,llama-2-13b-chat,981,178,2752,0.039852,2024-01-19,success
usage-00123,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,938,798,3805,0.007086,2024-03-16,success
usage-00124,bruno@datascience.co,pro,all-MiniLM-L6-v2,357,262,2094,0.023627,2024-03-18,success
usage-00125,eva@nlplab.dk,enterprise,all-MiniLM-L6-v2,1980,443,267,0.039578,2024-01-25,success
usage-00126,eva@nlplab.dk,enterprise,mistral-7b-instruct,1751,28,3496,0.00189,2024-01-15,success
usage-00127,chloe@airesearch.org,pro,all-MiniLM-L6-v2,964,687,358,0.005147,2024-01-03,success
usage-00128,faisal@llmconsult.ae,pro,llama-2-13b-chat,1866,519,3251,0.02457,2024-02-13,success
usage-00129,chloe@airesearch.org,pro,llama-2-13b-chat,689,61,328,0.004277,2024-03-10,success
usage-00130,bruno@datascience.co,pro,all-MiniLM-L6-v2,1009,660,2461,0.067245,2024-03-05,success
usage-00131,alice@techcorp.io,enterprise,all-MiniLM-L6-v2,1514,729,2598,0.005825,2024-01-23,success
usage-00132,bruno@datascience.co,pro,all-MiniLM-L6-v2,1222,356,3884,0.028693,2024-02-04,success
usage-00133,hiroshi@robotics.jp,enterprise,mistral-7b-instruct,347,112,3437,0.029343,2024-03-19,success
usage-00134,grace@deeplearn.ng,pro,all-MiniLM-L6-v2,1497,791,2260,0.068717,2024-02-17,success
usage-00135,eva@nlplab.dk,enterprise,llama-2-13b-chat,1417,62,3793,0.031982,2024-01-03,success
usage-00136,hiroshi@robotics.jp,enterprise,all-MiniLM-L6-v2,421,790,162,0.032878,2024-03-18,success
usage-00137,chloe@airesearch.org,pro,llama-2-13b-chat,1486,125,2805,0.018689,2024-03-27,success
usage-00138,bruno@datascience.co,pro,all-MiniLM-L6-v2,1135,414,2556,0.06595,2024-02-07,success
usage-00139,eva@nlplab.dk,enterprise,mistral-7b-instruct,1097,380,2844,0.029069,2024-03-27,success
usage-00140,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,404,460,736,0.045193,2024-01-23,success
usage-00141,alice@techcorp.io,enterprise,all-MiniLM-L6-v2,1511,755,3618,0.051523,2024-02-26,success
usage-00142,grace@deeplearn.ng,pro,llama-2-13b-chat,507,279,3754,0.004121,2024-01-21,success
usage-00143,bruno@datascience.co,pro,llama-2-13b-chat,400,58,470,0.06882,2024-03-19,success
usage-00144,dmitri@mlops.dev,pro,mistral-7b-instruct,197,86,1580,0.063839,2024-03-01,rate_limited
usage-00145,alice@techcorp.io,enterprise,all-MiniLM-L6-v2,1453,432,793,0.020989,2024-01-04,success
usage-00146,grace@deeplearn.ng,pro,all-MiniLM-L6-v2,1356,645,634,0.005508,2024-02-16,success
usage-00147,chloe@airesearch.org,pro,mistral-7b-instruct,696,707,3477,0.016187,2024-03-15,success
usage-00148,dmitri@mlops.dev,pro,all-MiniLM-L6-v2,1699,701,2890,0.004592,2024-01-25,success
usage-00149,hiroshi@robotics.jp,enterprise,all-MiniLM-L6-v2,763,604,987,0.078805,2024-02-17,success
usage-00150,hiroshi@robotics.jp,enterprise,all-MiniLM-L6-v2,793,592,3640,0.017071,2024-01-21,error
usage-00151,eva@nlplab.dk,enterprise,llama-2-13b-chat,1470,592,2834,0.065167,2024-03-01,success
usage-00152,bruno@datascience.co,pro,all-MiniLM-L6-v2,1618,638,734,0.022004,2024-02-26,success
usage-00153,bruno@datascience.co,pro,llama-2-13b-chat,1329,307,668,0.001681,2024-03-23,success
usage-00154,dmitri@mlops.dev,pro,all-MiniLM-L6-v2,355,483,900,0.035356,2024-02-02,success
usage-00155,hiroshi@robotics.jp,enterprise,all-MiniLM-L6-v2,155,290,2772,0.054301,2024-02-25,success
usage-00156,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,1854,90,1929,0.010682,2024-03-07,success
usage-00157,grace@deeplearn.ng,pro,llama-2-13b-chat,1712,419,2023,0.017206,2024-03-27,success
usage-00158,hiroshi@robotics.jp,enterprise,mistral-7b-instruct,547,667,1574,0.042996,2024-01-08,success
usage-00159,eva@nlplab.dk,enterprise,mistral-7b-instruct,167,648,869,0.021557,2024-03-04,rate_limited
usage-00160,bruno@datascience.co,pro,mistral-7b-instruct,1356,408,2144,0.033078,2024-01-23,success
usage-00161,grace@deeplearn.ng,pro,mistral-7b-instruct,1137,105,2188,0.02392,2024-02-03,success
usage-00162,grace@deeplearn.ng,pro,all-MiniLM-L6-v2,1442,759,175,0.027671,2024-03-21,success
usage-00163,faisal@llmconsult.ae,pro,llama-2-13b-chat,187,430,156,0.054999,2024-03-07,success
usage-00164,grace@deeplearn.ng,pro,mistral-7b-instruct,135,51,3601,0.043271,2024-02-01,success
usage-00165,alice@techcorp.io,enterprise,all-MiniLM-L6-v2,1295,466,734,0.075377,2024-03-12,success
usage-00166,dmitri@mlops.dev,pro,llama-2-13b-chat,1837,32,152,0.073184,2024-02-24,success
usage-00167,bruno@datascience.co,pro,llama-2-13b-chat,708,175,566,0.001734,2024-03-23,success
usage-00168,faisal@llmconsult.ae,pro,mistral-7b-instruct,1942,213,3366,0.021203,2024-02-06,success
usage-00169,hiroshi@robotics.jp,enterprise,mistral-7b-instruct,1450,608,2171,0.04919,2024-03-20,success
usage-00170,grace@deeplearn.ng,pro,all-MiniLM-L6-v2,56,769,2041,0.074942,2024-02-13,success
usage-00171,alice@techcorp.io,enterprise,mistral-7b-instruct,1510,526,3010,0.056734,2024-03-24,success
usage-00172,alice@techcorp.io,enterprise,all-MiniLM-L6-v2,1226,145,3631,0.02033,2024-01-06,success
usage-00173,grace@deeplearn.ng,pro,llama-2-13b-chat,823,566,1280,0.050556,2024-02-12,success
usage-00174,grace@deeplearn.ng,pro,llama-2-13b-chat,92,476,2112,0.066015,2024-02-23,success
usage-00175,hiroshi@robotics.jp,enterprise,mistral-7b-instruct,1631,774,1656,0.02237,2024-02-02,success
usage-00176,chloe@airesearch.org,pro,llama-2-13b-chat,703,462,3700,0.023428,2024-02-19,success
usage-00177,eva@nlplab.dk,enterprise,all-MiniLM-L6-v2,805,144,157,0.009498,2024-01-08,success
usage-00178,chloe@airesearch.org,pro,llama-2-13b-chat,1908,798,2078,0.034708,2024-02-09,success
usage-00179,dmitri@mlops.dev,pro,llama-2-13b-chat,533,178,2960,0.077485,2024-01-20,rate_limited
usage-00180,chloe@airesearch.org,pro,mistral-7b-instruct,415,635,2160,0.00904,2024-03-07,success
usage-00181,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,681,453,2437,0.004262,2024-01-01,success
usage-00182,eva@nlplab.dk,enterprise,all-MiniLM-L6-v2,1472,468,3652,0.062297,2024-01-20,success
usage-00183,chloe@airesearch.org,pro,llama-2-13b-chat,237,562,382,0.065888,2024-01-21,rate_limited
usage-00184,hiroshi@robotics.jp,enterprise,all-MiniLM-L6-v2,1587,406,3051,0.021724,2024-02-26,success
usage-00185,bruno@datascience.co,pro,all-MiniLM-L6-v2,259,367,3272,0.057764,2024-03-03,success
usage-00186,faisal@llmconsult.ae,pro,mistral-7b-instruct,1658,438,2903,0.060003,2024-03-27,success
usage-00187,hiroshi@robotics.jp,enterprise,all-MiniLM-L6-v2,887,646,3246,0.059315,2024-01-17,success
usage-00188,dmitri@mlops.dev,pro,mistral-7b-instruct,642,613,2813,0.063701,2024-02-15,success
usage-00189,alice@techcorp.io,enterprise,mistral-7b-instruct,800,784,266,0.03068,2024-01-15,success
usage-00190,eva@nlplab.dk,enterprise,all-MiniLM-L6-v2,730,704,2108,0.055369,2024-03-17,success
usage-00191,hiroshi@robotics.jp,enterprise,mistral-7b-instruct,371,127,522,0.018897,2024-01-11,success
usage-00192,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,1810,771,578,0.005822,2024-03-05,success
usage-00193,faisal@llmconsult.ae,pro,llama-2-13b-chat,1351,168,636,0.041615,2024-03-19,success
usage-00194,bruno@datascience.co,pro,llama-2-13b-chat,1370,279,117,0.075192,2024-03-27,success
usage-00195,dmitri@mlops.dev,pro,all-MiniLM-L6-v2,1728,327,156,0.022743,2024-03-15,success
usage-00196,bruno@datascience.co,pro,llama-2-13b-chat,1518,323,679,0.035648,2024-01-18,success
usage-00197,chloe@airesearch.org,pro,mistral-7b-instruct,1632,58,3244,0.055385,2024-03-26,success
usage-00198,alice@techcorp.io,enterprise,mistral-7b-instruct,1747,751,1271,0.058215,2024-01-03,success
usage-00199,grace@deeplearn.ng,pro,mistral-7b-instruct,610,155,383,0.049822,2024-03-17,success
usage-00200,hiroshi@robotics.jp,enterprise,mistral-7b-instruct,1458,634,3821,0.047186,2024-02-09,success
usage-00201,eva@nlplab.dk,enterprise,all-MiniLM-L6-v2,774,621,3713,0.013683,2024-03-13,success
usage-00202,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,728,420,2319,0.066216,2024-03-07,success
usage-00203,bruno@datascience.co,pro,all-MiniLM-L6-v2,1233,395,1530,0.047214,2024-01-02,success
usage-00204,hiroshi@robotics.jp,enterprise,all-MiniLM-L6-v2,136,341,785,0.00254,2024-01-23,success
usage-00205,dmitri@mlops.dev,pro,mistral-7b-instruct,779,542,3608,0.026665,2024-03-21,success
usage-00206,dmitri@mlops.dev,pro,all-MiniLM-L6-v2,803,342,1785,0.070898,2024-03-27,success
usage-00207,bruno@datascience.co,pro,all-MiniLM-L6-v2,154,54,3356,0.075155,2024-02-05,success
usage-00208,grace@deeplearn.ng,pro,all-MiniLM-L6-v2,149,92,1018,0.056371,2024-01-02,success
usage-00209,grace@deeplearn.ng,pro,llama-2-13b-chat,786,472,3089,0.017237,2024-03-14,success
usage-00210,grace@deeplearn.ng,pro,llama-2-13b-chat,1755,244,2259,0.078025,2024-02-08,success
usage-00211,bruno@datascience.co,pro,mistral-7b-instruct,1394,498,1851,0.077941,2024-01-09,success
usage-00212,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,1033,256,3558,0.056407,2024-02-23,success
usage-00213,chloe@airesearch.org,pro,mistral-7b-instruct,126,144,900,0.050914,2024-02-13,success
usage-00214,chloe@airesearch.org,pro,llama-2-13b-chat,1720,365,3768,0.059992,2024-02-16,success
usage-00215,alice@techcorp.io,enterprise,llama-2-13b-chat,1574,517,202,0.055183,2024-03-11,success
usage-00216,grace@deeplearn.ng,pro,all-MiniLM-L6-v2,1874,272,304,0.017307,2024-02-07,success
usage-00217,faisal@llmconsult.ae,pro,mistral-7b-instruct,170,325,3112,0.019636,2024-01-04,success
usage-00218,grace@deeplearn.ng,pro,all-MiniLM-L6-v2,571,626,2133,0.009871,2024-03-03,success
usage-00219,bruno@datascience.co,pro,mistral-7b-instruct,180,788,1088,0.001534,2024-03-10,success
usage-00220,eva@nlplab.dk,enterprise,mistral-7b-instruct,305,334,387,0.038148,2024-02-21,success
usage-00221,bruno@datascience.co,pro,all-MiniLM-L6-v2,168,301,3453,0.066748,2024-02-11,success
usage-00222,alice@techcorp.io,enterprise,llama-2-13b-chat,710,439,283,0.02912,2024-02-16,success
usage-00223,grace@deeplearn.ng,pro,llama-2-13b-chat,1641,627,3294,0.020925,2024-01-20,success
usage-00224,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,877,307,1512,0.040012,2024-01-04,success
usage-00225,hiroshi@robotics.jp,enterprise,all-MiniLM-L6-v2,375,479,2804,0.013398,2024-03-23,success
usage-00226,bruno@datascience.co,pro,mistral-7b-instruct,1101,266,2825,0.008536,2024-02-23,success
usage-00227,dmitri@mlops.dev,pro,llama-2-13b-chat,1322,83,2185,0.056822,2024-03-06,rate_limited
usage-00228,chloe@airesearch.org,pro,mistral-7b-instruct,1059,774,3809,0.069086,2024-03-05,success
usage-00229,alice@techcorp.io,enterprise,all-MiniLM-L6-v2,1561,288,3307,0.015234,2024-02-22,success
usage-00230,bruno@datascience.co,pro,mistral-7b-instruct,865,668,3383,0.055245,2024-03-27,success
usage-00231,eva@nlplab.dk,enterprise,llama-2-13b-chat,867,170,3288,0.057463,2024-01-02,success
usage-00232,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,1555,297,1247,0.068533,2024-03-15,error
usage-00233,faisal@llmconsult.ae,pro,llama-2-13b-chat,1803,357,3035,0.047744,2024-02-15,error
usage-00234,bruno@datascience.co,pro,all-MiniLM-L6-v2,109,212,450,0.059405,2024-01-11,success
usage-00235,grace@deeplearn.ng,pro,llama-2-13b-chat,568,476,3887,0.00857,2024-01-07,success
usage-00236,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,591,655,2448,0.029594,2024-03-16,success
usage-00237,faisal@llmconsult.ae,pro,llama-2-13b-chat,1113,741,3778,0.025377,2024-03-12,success
usage-00238,eva@nlplab.dk,enterprise,all-MiniLM-L6-v2,690,618,1814,0.022687,2024-02-09,success
usage-00239,dmitri@mlops.dev,pro,mistral-7b-instruct,926,55,2024,0.070248,2024-03-15,success
usage-00240,faisal@llmconsult.ae,pro,llama-2-13b-chat,419,512,220,0.046321,2024-01-28,success
usage-00241,alice@techcorp.io,enterprise,all-MiniLM-L6-v2,932,372,289,0.041824,2024-03-05,success
usage-00242,faisal@llmconsult.ae,pro,llama-2-13b-chat,340,159,2865,0.03826,2024-03-01,success
usage-00243,alice@techcorp.io,enterprise,llama-2-13b-chat,1924,723,546,0.009067,2024-02-15,success
usage-00244,dmitri@mlops.dev,pro,llama-2-13b-chat,628,469,3767,0.058905,2024-01-21,success
usage-00245,dmitri@mlops.dev,pro,all-MiniLM-L6-v2,982,140,1803,0.056061,2024-03-04,success
usage-00246,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,1135,624,1883,0.049561,2024-01-15,success
usage-00247,chloe@airesearch.org,pro,llama-2-13b-chat,106,237,105,0.020348,2024-01-06,success
usage-00248,chloe@airesearch.org,pro,mistral-7b-instruct,1874,579,2385,0.047792,2024-01-16,success
usage-00249,bruno@datascience.co,pro,all-MiniLM-L6-v2,1626,220,977,0.063552,2024-03-23,success
usage-00250,faisal@llmconsult.ae,pro,mistral-7b-instruct,1688,305,810,0.027532,2024-01-24,success
usage-00251,alice@techcorp.io,enterprise,mistral-7b-instruct,1295,548,2313,0.077136,2024-02-26,success
usage-00252,faisal@llmconsult.ae,pro,llama-2-13b-chat,155,552,3746,0.006139,2024-01-13,success
usage-00253,bruno@datascience.co,pro,mistral-7b-instruct,477,769,3230,0.052902,2024-03-20,rate_limited
usage-00254,hiroshi@robotics.jp,enterprise,mistral-7b-instruct,1036,301,3786,0.062886,2024-03-12,success
